"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10","Sample11","Sample12","Sample13","Sample14","Sample15","Sample16","Sample17","Sample18","Sample19","Sample20"
"Gene921",5551,22614,12103,18483,10799,13518,6587,6369,18570,6337,11562,2338,19778,19698,22454,22213,15056,7803,15580,13258
"Gene922",1232,5004,2659,3974,2393,2933,1560,1376,4185,1349,2519,521,4384,4210,4928,4764,3273,1669,3455,3015
"Gene923",1043,4470,2490,3648,2143,2606,1350,1219,3616,1298,2267,464,3911,3866,4454,4340,2952,1550,3071,2608
"Gene924",2544,10069,5423,8470,4761,6038,2985,2803,8440,2851,5230,1094,8845,8652,9910,9901,6724,3656,7036,5942
"Gene925",7521,30642,16403,24971,14552,18382,9004,8502,25133,8506,15158,3221,27007,26830,30067,29754,19923,10505,21155,18075
"Gene926",9875,40345,21422,33086,19475,24197,11800,11052,33265,11218,20358,4216,35192,35182,39541,39221,26403,14189,28112,23745
"Gene927",3976,16407,8774,13462,7858,9933,4806,4483,13499,4622,8217,1786,14406,14261,16324,16223,10614,5712,11470,9371
"Gene928",8556,34504,18473,28894,16693,21058,10444,9455,28348,9680,17327,3634,30328,30539,34207,34163,22710,11915,24153,20247
"Gene929",5379,21887,11804,18136,10611,13203,6376,6126,18129,6180,11168,2289,19331,19335,21631,21411,14465,7592,15038,12902
"Gene930",7031,28683,15249,23646,13694,17285,8474,7844,23589,8098,14291,2929,24956,24986,28181,27999,18911,9894,20294,17246
"Gene931",1150,4382,2420,3761,2150,2699,1281,1202,3765,1258,2296,497,3929,3964,4460,4422,3012,1556,3147,2686
"Gene932",7221,28856,15765,23827,13925,17748,8407,8027,24155,8356,14720,3098,25728,25565,28665,28264,19002,9982,20181,17143
"Gene933",5050,20287,10598,16730,9696,12026,5907,5712,16761,5816,10208,2150,17879,17436,19803,19657,13239,6894,14198,12220
"Gene934",3066,12544,6820,10302,6052,7721,3691,3593,10582,3481,6263,1273,10983,10932,12418,12285,8214,4382,8742,7424
"Gene935",11847,48682,26265,40025,23388,29498,14316,13396,40150,13693,24528,5124,42669,42322,48200,47676,31972,16889,33864,28733
"Gene936",5211,20751,11206,17127,10049,12499,6073,5762,17228,5885,10548,2225,18406,18200,21147,20699,13982,7384,14657,12421
"Gene937",8549,34396,18495,28534,16646,20557,10218,9589,28789,9773,17337,3508,30280,30138,34389,33686,22782,11978,24165,20508
"Gene938",12611,51070,27577,41821,24380,30520,14887,13995,42324,14610,25800,5317,44902,44396,50160,49941,33438,17693,35594,30190
"Gene939",6260,25122,13550,20465,12124,15007,7500,7018,20894,7190,12614,2598,22089,21574,24966,24698,16512,8649,17783,14862
"Gene940",1954,8141,4430,6619,3881,4992,2313,2204,6751,2289,4065,875,7107,7042,8232,8117,5528,2875,5736,4898
"Gene941",8322,33540,18047,27905,16158,20242,9847,9477,27879,9543,16893,3464,29466,29296,33196,32717,22118,11683,23205,19808
"Gene942",8039,32817,17783,27047,16025,19767,9725,9144,27309,9110,16598,3390,28622,28592,32390,32182,21764,11318,22711,19310
"Gene943",7083,28782,15444,23935,13957,17440,8564,7990,23733,8100,14518,3011,25243,25350,28553,28344,18870,9977,19888,17201
"Gene944",3690,14902,7941,11945,7051,9003,4446,4069,12273,4120,7411,1544,13033,12831,14667,14362,9832,5154,10289,8697
"Gene945",3403,13568,7305,11228,6539,8086,3971,3783,11522,3820,6907,1437,11879,11683,13529,13400,8886,4782,9566,8129
"Gene946",3580,14281,7616,11853,6909,8532,4258,4034,11862,3989,7204,1461,12560,12537,13875,14021,9410,4974,10075,8553
"Gene947",11685,47457,25552,38937,22750,28451,13916,13224,39058,13400,23949,5067,41715,41567,47059,46743,31408,16235,33024,28269
"Gene948",2087,8181,4377,6801,3905,4987,2406,2312,6773,2281,4140,894,7297,7142,8137,8170,5398,2938,5739,4908
"Gene949",327,1326,650,1041,605,726,378,354,1063,329,617,133,1128,1090,1263,1265,855,432,908,737
"Gene950",5363,22218,11748,18143,10477,13433,6447,6038,18312,6186,11120,2289,19222,19101,21679,21618,14483,7610,15652,12938
"Gene951",12311,50156,26581,41033,24051,30055,14581,13749,41285,14051,25398,5248,43484,43556,49361,48597,32638,17308,34662,29593
"Gene952",5615,23268,12267,18919,11070,13906,6863,6212,19312,6466,11516,2397,20263,20055,22926,22652,15304,7961,16282,13543
"Gene953",3164,12864,6934,10705,6119,7634,3848,3511,10729,3641,6404,1375,11236,11306,12672,12783,8619,4433,9026,7726
"Gene954",2099,8711,4584,7008,4074,5197,2506,2371,7146,2493,4381,886,7540,7361,8399,8350,5646,2892,5974,4959
"Gene955",4221,16563,8837,13677,8074,10054,4776,4483,13819,4766,8540,1689,14539,14716,16480,16327,10759,5771,11807,9851
"Gene956",6223,25139,13374,20392,12084,15170,7486,6869,20639,6977,12648,2591,22265,21764,24871,24811,16324,8515,17357,14705
"Gene957",2332,9516,5173,7957,4563,5920,2823,2673,8162,2749,4899,1035,8462,8209,9537,9449,6433,3351,6681,5763
"Gene958",1558,6390,3392,5200,3106,3821,1956,1805,5317,1836,3273,727,5579,5643,6511,6372,4150,2134,4411,3702
"Gene959",3294,13898,7287,11073,6568,8284,4089,3744,11209,3769,6859,1461,11760,11826,13390,13461,8907,4713,9344,8141
"Gene960",1966,7763,4152,6287,3804,4642,2213,2201,6368,2153,3915,804,6827,6796,7755,7611,5177,2614,5400,4624
"Gene961",11777,47720,25547,39454,22869,28942,13894,13276,39227,13566,24263,5016,41423,41642,46946,46827,31316,16394,33231,28323
"Gene962",3680,14974,8124,12302,7325,9080,4525,4098,12359,4227,7497,1572,13008,12940,14755,14904,9801,5097,10384,8854
"Gene963",6133,25023,13443,20834,12115,15009,7463,6909,20586,7141,12806,2609,21969,21848,24919,24694,16558,8516,17597,14819
"Gene964",8894,36595,19406,29783,17324,22249,10628,10216,30215,10375,18529,3816,31988,32005,35944,35951,24374,12765,25579,21354
"Gene965",9279,36946,19926,30337,17633,22063,10959,10215,30730,10315,18838,3844,32320,31930,36534,36625,24586,12812,26005,21888
"Gene966",7589,31203,16528,25892,14877,18694,9118,8712,25509,8779,15622,3138,27266,27114,30671,30293,20339,10662,21629,18440
"Gene967",5864,23696,12695,19280,11456,14081,6820,6578,19298,6751,12110,2469,20680,20452,23255,22890,15613,8148,16234,13976
"Gene968",6465,26599,14298,22016,12925,16146,7802,7375,22349,7544,13596,2848,23522,23227,26431,26644,17702,9068,18826,15751
"Gene969",1390,5643,2954,4563,2695,3218,1669,1519,4583,1524,2743,597,4831,4899,5496,5442,3675,1922,3940,3368
"Gene970",9432,38624,20706,31706,18755,23068,11260,10540,31785,10676,19706,4086,33357,33137,37934,37421,25673,13022,26804,22722
"Gene971",1623,6496,3524,5206,3135,3858,1895,1764,5310,1799,3219,694,5655,5560,6271,6351,4212,2189,4476,3811
"Gene972",3298,13676,7401,11198,6537,8256,3942,3851,11322,3811,6866,1442,12091,11856,13616,13259,9089,4832,9577,8073
"Gene973",354,1391,742,1162,658,816,368,388,1210,405,701,154,1197,1295,1356,1355,965,496,975,779
"Gene974",9067,37040,19941,30351,17804,22290,10864,10160,30639,10441,18713,3902,32658,32479,36434,35856,24617,12681,25734,21956
"Gene975",12884,52217,28396,43369,25293,31652,15427,14525,42996,14765,26588,5406,46048,45878,51942,51380,34915,17871,36573,30897
"Gene976",3285,12959,6908,10790,6426,7944,3915,3550,10841,3674,6554,1331,11512,11246,12870,12726,8684,4504,9126,7587
"Gene977",8714,35329,19094,29082,17135,21441,10450,9954,29400,9864,17890,3650,31179,30917,35171,34834,23223,12227,24968,20722
"Gene978",4134,17231,9137,14144,8204,10411,5116,4693,14060,4721,8526,1769,15008,14757,16997,16725,11232,5818,11906,10177
"Gene979",3418,13947,7540,11664,6728,8321,4106,3992,11504,4003,7119,1534,12071,12211,13832,13710,9410,4805,9740,8312
"Gene980",4948,19996,10767,16390,9663,11964,5798,5568,16475,5741,10178,2071,17450,17539,19787,19649,13089,6872,13975,11997
"Gene981",8706,35000,18887,29205,16723,21183,10205,9791,28950,9987,17698,3777,30923,30777,34916,34472,23240,12073,24736,20821
"Gene982",5041,20367,11040,16678,9851,12392,5924,5705,16701,5687,10026,2118,17885,17644,20077,19734,13525,7068,14220,11913
"Gene983",6214,25805,13541,21054,12115,15399,7533,7235,21098,7311,12651,2637,22433,22306,25359,25064,16857,9036,17882,15152
"Gene984",4027,16022,8613,13214,7509,9665,4850,4310,12756,4456,8043,1668,13996,13915,15878,15814,10856,5607,11215,9495
"Gene985",1787,7262,3916,5989,3606,4430,2098,2018,5880,2019,3667,743,6319,6383,7076,7250,4807,2470,5155,4349
"Gene986",8995,36174,19449,29952,17450,21525,10694,9940,29579,10253,18404,3906,32126,31612,35999,35615,23871,12619,25183,21170
"Gene987",3945,16121,8590,13285,7775,9556,4829,4439,13278,4395,8061,1663,14225,14025,15757,15631,10510,5500,11263,9549
"Gene988",4818,19522,10416,15780,9487,11803,5632,5274,16056,5398,9844,1972,16993,16879,19190,19177,12634,6774,13473,11363
"Gene989",5308,21020,11466,17578,10125,12796,6460,5817,17337,6092,10751,2300,18578,18215,20947,20639,13927,7180,14984,12582
"Gene990",5776,23358,12584,18852,11169,13734,6733,6150,19192,6494,11449,2351,20158,20018,22948,22302,15415,8007,16187,13713
"Gene991",842,3306,1815,2695,1587,2003,983,909,2779,975,1680,340,2967,2917,3191,3300,2197,1117,2340,2017
"Gene992",3927,15980,8592,13089,7636,9619,4737,4516,13397,4479,8096,1672,13952,13950,16024,15919,10514,5524,11194,9308
"Gene993",2017,7795,4328,6514,3733,4879,2282,2222,6599,2265,4017,843,6798,7070,7887,7760,5246,2784,5481,4661
"Gene994",2760,11476,6260,9566,5614,6840,3328,3122,9455,3307,5810,1215,9946,10069,11317,11197,7549,3937,7860,6563
"Gene995",5398,21729,11688,18118,10549,13140,6437,6050,18209,5979,11142,2292,19085,19395,21824,21708,14629,7658,15308,12836
"Gene996",8185,33819,17823,27444,15970,20330,9988,9053,27772,9423,17203,3548,29228,29386,33303,33161,21612,11588,23327,20122
"Gene997",5607,22526,12147,18840,10889,13753,6624,6170,18511,6514,11460,2371,19954,19756,22334,22206,14847,7855,15819,13549
"Gene998",1110,4782,2503,3872,2279,2888,1324,1229,4013,1361,2386,507,4087,3988,4698,4707,2984,1582,3207,2758
"Gene999",10846,44046,23715,36189,21155,26782,13212,12226,36539,12439,22455,4688,38507,38751,43549,43520,29256,15303,30973,25988
"Gene1000",9699,39393,21249,32150,18777,23714,11801,10500,32638,11015,19932,4187,34477,34224,38807,38423,26122,13414,27437,23256
"Gene1001",2176,8915,4795,7185,4210,5292,2514,2380,7252,2485,4472,979,7681,7665,8769,8607,5864,3057,5996,5206
"Gene1002",4557,18273,9724,15062,8784,10935,5310,4951,15341,5140,9264,1897,15884,15966,18083,17957,12074,6355,12793,10963
"Gene1003",9234,37616,19981,30857,18124,22521,10840,10375,31025,10369,18631,3916,32854,32620,36981,36771,24705,13004,26117,22161
"Gene1004",3153,12764,6932,10380,6093,7547,3860,3528,10368,3566,6405,1295,11332,11211,12644,12456,8315,4434,8652,7457
"Gene1005",11769,47581,25419,39325,23115,28672,13933,12949,39255,13455,24248,5043,42067,42038,47300,46794,31720,16377,33314,28256
"Gene1006",3944,16355,8719,13361,7873,9699,4749,4569,13228,4579,8074,1692,14410,14050,15996,15991,10731,5600,11223,9651
"Gene1007",3775,15275,8119,12601,7300,9158,4363,4084,12455,4320,7607,1564,13554,13428,15166,14931,10108,5289,10492,8908
"Gene1008",5817,23672,12603,19622,11402,14356,6915,6633,19347,6652,11970,2399,20920,20734,23584,23265,15653,8116,16505,13836
"Gene1009",3017,12289,6570,10065,5852,7272,3649,3344,10022,3484,6209,1233,10717,10932,12123,11961,8071,4153,8616,7083
"Gene1010",5872,23178,12491,19239,11429,13954,6960,6467,19433,6511,11825,2526,20506,20481,23106,22768,15407,8201,16285,13628
"Gene1011",1789,6683,3676,5548,3216,4124,2049,1870,5700,1889,3494,723,6103,5986,6712,6655,4511,2376,4666,3849
"Gene1012",2635,11065,5886,9143,5383,6606,3268,3046,9206,3195,5670,1205,9703,9635,11178,10986,7465,3833,7749,6557
"Gene1013",8011,31743,16965,26466,15249,18952,9316,8779,26138,9035,15928,3391,27773,27549,31107,30949,20851,11029,22264,18648
"Gene1014",299,1301,663,974,593,726,346,338,991,352,591,129,1011,1035,1195,1228,800,412,831,713
"Gene1015",6041,25072,13139,20483,11955,15296,7297,6892,20142,7066,12552,2758,21737,21722,24669,24175,16483,8789,17293,14628
"Gene1016",12438,51003,27365,41620,24325,30672,14913,14122,41824,14387,25728,5419,44109,44430,50313,49812,33349,17637,34924,30256
"Gene1017",9996,40610,21646,33326,19417,24275,11862,11053,33340,11375,20380,4225,35200,35478,40382,39691,26617,14144,28201,23947
"Gene1018",3915,16411,8809,13354,7756,9667,4829,4558,13469,4553,7985,1726,14102,14246,16252,16097,10769,5499,11292,9747
"Gene1019",6708,26940,14500,22275,13049,16232,7966,7469,22424,7660,13661,2825,23945,23561,26665,26706,17874,9395,18961,16079
"Gene1020",5950,24167,12933,20020,11585,14468,7191,6562,19495,6847,12291,2559,20970,20906,24023,24020,15978,8261,16943,14220
"Gene1021",1266,5096,2766,4206,2356,3132,1494,1401,4247,1473,2663,576,4435,4463,4983,5002,3464,1732,3664,2998
"Gene1022",9019,36285,19512,29423,17510,21758,10585,9807,29782,10201,18281,3696,31301,31696,35713,35542,23845,12516,25153,21451
"Gene1023",4496,18444,9851,15247,8745,10864,5575,5056,14934,5089,9243,1845,15880,15971,17765,18089,12015,6323,12557,10709
"Gene1024",5598,22411,12223,18634,10833,13590,6576,6223,18244,6530,11342,2365,19784,19564,22135,21926,14848,7716,15786,13374
"Gene1025",6104,24996,13447,20420,12108,15020,7366,6941,20591,7198,12546,2611,22175,21745,25017,24445,16441,8600,17292,14783
"Gene1026",4685,19369,10399,15520,9156,11551,5833,5292,15783,5428,9874,1974,16702,16518,19007,18817,12610,6559,13551,11256
"Gene1027",1938,7781,4195,6472,3790,4602,2292,2170,6505,2131,3904,787,6661,6824,7682,7495,5084,2660,5358,4594
"Gene1028",2582,10354,5702,8631,4967,6288,3110,2846,8499,3040,5259,1085,9058,8939,10418,10380,6779,3552,7188,6065
"Gene1029",3106,13088,6901,10832,6346,7843,3803,3597,10700,3737,6455,1335,11385,11175,13069,12849,8606,4556,9040,7677
"Gene1030",9319,37516,20109,30889,17953,22421,11155,10409,30948,10819,18969,3905,33219,32952,37269,36330,24796,13098,26361,22300
"Gene1031",5130,20969,11173,17096,9965,12787,6318,5842,17232,5974,10664,2165,18490,18289,20579,20247,13685,7124,14774,12180
"Gene1032",8906,35513,19062,28756,17214,21239,10528,9782,29257,10041,17847,3706,30966,30809,35064,34834,23317,12234,24640,20706
"Gene1033",26007,105847,56363,86767,50894,64133,31271,29569,87073,30094,53301,11364,91974,92287,104497,103968,69876,36783,74556,62430
"Gene1034",1756,7046,3793,5857,3392,4229,2145,1923,5739,1993,3553,725,6137,6104,7062,6984,4640,2447,4988,4178
"Gene1035",11172,44987,24408,37378,21916,27196,13444,12503,37096,12834,22911,4789,39660,39140,44602,44126,30032,15622,31638,26541
"Gene1036",5457,22032,11915,18084,10739,13287,6542,6026,18033,6265,11215,2374,19341,19021,21695,21733,14670,7461,15383,12925
"Gene1037",5546,22761,12339,18562,10875,13501,6685,6198,18789,6365,11469,2453,20067,19725,22394,22050,14626,7731,15899,13283
"Gene1038",3782,15129,8249,12467,7134,9063,4454,4124,12497,4216,7530,1621,13013,13148,14927,14681,9755,5156,10535,8908
"Gene1039",2154,9014,4691,7224,4166,5164,2611,2379,7249,2427,4492,899,7691,7699,8519,8733,5846,3013,6069,5220
"Gene1040",11821,47823,25937,39947,23088,28531,14123,13195,39516,13624,24164,5027,41848,41361,47323,47038,31690,16476,33845,28014
"Gene1041",7118,28764,15402,23634,13805,17319,8418,7929,23871,8228,14439,3066,25329,24952,28363,28066,18934,9961,20218,17033
"Gene1042",666,2927,1557,2358,1420,1727,879,802,2370,805,1431,333,2597,2597,2876,2814,1934,1009,2018,1673
"Gene1043",9138,36873,19972,30452,17730,22407,10834,10061,30544,10530,18920,3884,32411,32347,36460,36412,24563,12772,25778,21994
"Gene1044",2475,10383,5637,8309,5017,6231,3049,2856,8573,2878,5144,1140,9131,8910,10074,10340,6900,3549,7228,6027
"Gene1045",10611,42642,22691,34984,20630,25473,12704,11755,35455,11969,21406,4397,37613,37432,42229,41678,27961,14572,29890,25229
"Gene1046",15250,61383,32976,50603,29405,36910,18348,16861,50864,17603,31021,6488,54165,53306,61063,60526,40380,21222,43186,36307
"Gene1047",3820,15450,8274,12689,7260,9529,4550,4361,12623,4325,7760,1682,13632,13389,15370,15062,10218,5399,10689,9007
"Gene1048",1845,7684,4124,6296,3722,4713,2291,2082,6326,2174,3956,850,6795,6706,7649,7661,5004,2628,5290,4533
"Gene1049",707,2790,1496,2259,1377,1744,799,818,2319,805,1361,314,2552,2448,2723,2813,1881,974,1993,1659
"Gene1050",6507,26565,14084,21960,12684,16024,7854,7362,21835,7436,13478,2853,23118,23069,26579,26066,17492,9039,18706,15968
"Gene1051",3026,12361,6603,9993,5806,7489,3675,3430,10355,3492,6370,1341,10696,10770,12195,12171,8117,4303,8685,7207
"Gene1052",8120,33249,17649,27158,16108,20003,9720,9169,27157,9271,16888,3523,28898,28953,32593,32265,21736,11436,23104,19630
"Gene1053",8368,33569,18086,27253,15797,19972,9972,9191,27512,9529,16647,3379,29415,29070,32794,33130,22004,11462,23235,19756
"Gene1054",3559,14232,7667,11810,6823,8565,4255,3886,11685,4055,7263,1494,12440,12602,14097,14030,9319,4879,10098,8541
"Gene1055",14036,55609,29972,46351,26950,33663,16531,15498,46296,16001,28099,5746,48482,48456,55707,54972,36983,19553,38634,33228
"Gene1056",9730,39629,21016,32282,19151,24043,11498,11028,32537,11202,19949,4146,34728,34407,38876,38767,26091,13485,27480,23299
"Gene1057",14842,60052,32394,49703,28926,36210,17572,16791,50151,17212,30523,6264,52682,52826,59831,59499,39544,20703,42109,35643
"Gene1058",3037,12758,6978,10511,6043,7700,3726,3524,10423,3537,6449,1258,11062,11257,12580,12460,8286,4438,8814,7674
"Gene1059",4978,20774,11039,16558,9726,12161,6083,5595,16947,5927,10499,2090,17716,17756,19901,20110,13387,6993,14268,12076
"Gene1060",3873,15579,8481,12850,7560,9494,4625,4387,12700,4551,7866,1670,13672,13796,15526,15471,10207,5575,10716,9236
"Gene1061",2518,9987,5544,8287,4858,6025,2893,2793,8303,2826,4954,1105,8841,8713,10136,9963,6668,3553,7131,5996
"Gene1062",12029,49509,26568,40585,23569,29530,14668,13673,41039,13985,25140,5177,43500,42899,49015,48548,32711,17072,34623,29031
"Gene1063",4817,19491,10567,16234,9718,11807,5768,5426,16182,5465,9974,2125,17278,16928,19421,19406,13022,6666,13637,11925
"Gene1064",3770,14828,7899,12006,7043,8870,4399,4129,12380,4260,7428,1553,12832,13016,14834,14641,9668,5140,10520,8838
"Gene1065",1578,6376,3356,5120,3077,3809,1785,1721,5311,1799,3332,642,5631,5507,6157,6282,4224,2150,4546,3636
"Gene1066",5308,21531,11718,17675,10289,12912,6424,5901,17803,6101,10745,2301,19057,18708,21300,21046,14316,7484,15087,12749
"Gene1067",5891,24264,12921,20043,11563,14503,7198,6627,19773,6726,12252,2547,21116,21167,23882,23633,15853,8350,17073,14120
"Gene1068",1154,4672,2520,3733,2216,2806,1331,1281,3784,1313,2347,491,4020,4111,4616,4577,3078,1658,3281,2670
"Gene1069",4800,19710,10510,16292,9348,11648,5678,5451,16221,5525,9848,2044,17074,16972,19292,19305,12970,6868,13602,11349
"Gene1070",2746,11019,5878,8913,5307,6799,3341,3084,9221,3213,5747,1148,9835,9593,10953,10896,7311,3761,7706,6518
"Gene1071",6438,26052,14029,21306,12448,15526,7670,7182,21380,7260,13055,2710,22504,22402,25652,25576,17142,8935,18254,15224
"Gene1072",9532,38587,20695,31667,18557,23371,11251,10694,32121,10780,19527,3951,33681,33450,38218,37690,25339,13258,26808,22896
"Gene1073",2437,9718,5193,7788,4558,5720,2819,2719,7993,2745,4890,971,8349,8642,9741,9506,6418,3316,6627,5720
"Gene1074",3671,15076,8099,12357,7427,9133,4442,4140,12384,4343,7633,1571,13417,13074,15199,14765,9871,5200,10649,8952
"Gene1075",2089,8431,4417,6846,4089,5057,2475,2340,6856,2347,4312,808,7373,7336,8150,8147,5379,2884,5792,5023
"Gene1076",5133,20795,11224,17041,9913,12364,6186,5795,17131,5804,10498,2303,18334,18144,20434,20420,13774,7170,14383,12287
"Gene1077",6646,27238,14687,22228,13026,16346,7986,7550,22081,7768,13659,2754,23584,23443,26965,26494,18281,9160,18851,15970
"Gene1078",6876,27985,15010,23028,13438,16903,8286,7681,23162,7806,14069,2942,24616,24069,27360,27215,18508,9721,19303,16506
"Gene1079",6040,23982,12958,20026,11545,14487,7241,6819,19939,6761,12285,2602,21269,21067,24133,23765,16004,8336,16970,14248
"Gene1080",17906,72672,38885,59966,34845,44165,21468,20058,59791,20615,36638,7718,63695,63083,72115,71385,47563,25113,50400,43021
"Gene1081",8967,36312,19272,29714,17660,21927,10483,10016,30232,10292,18477,3877,31688,31679,36092,35723,23698,12501,25411,21443
"Gene1082",8469,34329,18152,27700,16435,20549,9920,9286,27950,9686,17144,3464,29806,29696,33545,33326,22369,11960,23869,20138
"Gene1083",12017,49127,26400,40099,23787,29425,14451,13504,40309,13957,24789,5206,43030,42861,48590,48113,32599,16964,34216,28756
"Gene1084",7789,31930,17409,26509,15458,19140,9461,8890,26313,9202,16244,3443,28379,28133,32008,31339,21198,10925,22383,18950
"Gene1085",7232,28967,15629,24036,14054,17550,8675,8087,24290,8197,14714,3033,25419,26035,28957,28685,19366,10214,20113,17566
"Gene1086",3598,14949,8056,12468,7253,9051,4539,4108,12517,4170,7513,1591,13374,12968,14696,14650,9902,5200,10474,8863
"Gene1087",6437,25888,13861,21095,12521,15419,7565,7043,21337,7362,12990,2747,22674,22635,25813,25524,16889,8978,17984,14825
"Gene1088",7393,30094,16171,24711,14597,18156,8957,8387,24719,8754,15090,3082,26477,25943,29989,29494,19871,10412,21084,17812
"Gene1089",7376,30054,16287,24696,14546,18402,8989,8348,24979,8535,15098,3138,26524,26316,29865,29760,20085,10435,21090,18056
"Gene1090",5761,22691,12243,18614,10894,13820,6784,6326,19041,6409,11584,2389,20133,20054,22654,22334,15097,7950,16127,13529
"Gene1091",4858,19479,10416,16006,9330,11697,5672,5299,15977,5518,9778,2099,16892,16820,19139,19140,12869,6779,13531,11315
"Gene1092",6583,26688,14297,22230,12651,16230,7738,7136,22012,7596,13638,2797,23041,23060,26502,26390,17485,9101,18607,15606
"Gene1093",2789,11106,5959,9242,5283,6658,3261,3072,9094,3171,5653,1221,9696,9690,10941,10860,7320,3854,7699,6543
"Gene1094",1520,6217,3351,5144,3015,3806,1845,1686,5180,1771,3030,661,5478,5361,6132,6036,4277,2160,4390,3576
"Gene1095",1266,5243,2767,4326,2505,3163,1572,1484,4436,1440,2762,525,4670,4645,5307,5282,3458,1856,3722,3083
"Gene1096",2077,8320,4562,6957,4000,5126,2534,2297,6934,2433,4155,924,7273,7364,8308,8203,5522,2754,5906,5001
"Gene1097",9510,37915,20869,31366,18339,23046,11343,10716,31507,11014,19201,4059,33606,33450,37603,37635,25018,13146,26866,22690
"Gene1098",2805,10913,5873,9222,5307,6716,3260,3050,9202,3141,5670,1176,9758,9960,11136,11015,7377,3878,7728,6490
"Gene1099",15815,63435,33911,52039,30377,38138,18805,17579,52177,17798,31902,6586,55517,55292,62613,62427,42035,21822,44183,37324
"Gene1100",11333,46368,24831,38228,22615,27844,13467,12735,38360,13013,23287,4790,40750,40549,46011,45004,30291,15865,32387,27232
"Gene1101",2233,9198,5041,7558,4504,5501,2735,2620,7612,2565,4484,971,8065,8045,9126,9003,6005,3262,6343,5461
"Gene1102",3611,15055,8084,12391,7125,9051,4367,4095,12627,4161,7638,1535,12975,12986,14825,14671,9966,5269,10631,8843
"Gene1103",2021,8051,4382,6711,3946,4840,2326,2302,6642,2331,4116,857,6944,7192,8019,7916,5270,2811,5534,4694
"Gene1104",1676,7081,3822,5666,3321,4151,2016,2005,5713,1946,3588,725,6059,6009,6915,6838,4717,2461,4871,4076
"Gene1105",975,4086,2268,3434,2028,2421,1197,1150,3424,1159,2064,401,3637,3594,4121,4163,2738,1434,2852,2403
"Gene1106",3692,14871,8146,12318,7231,9055,4374,4171,12428,4173,7710,1570,13111,13082,14721,14828,9757,5196,10376,8816
"Gene1107",2150,8945,4663,7341,4168,5278,2565,2417,7050,2392,4454,942,7683,7635,8718,8637,5754,2922,5997,5224
"Gene1108",9440,38236,20442,31322,18544,23164,11277,10660,31756,10962,19594,4019,33357,33478,37937,37500,25345,13409,26908,22737
"Gene1109",3014,12102,6485,10078,5780,7367,3567,3339,10001,3377,6089,1301,10653,10588,11955,11864,7990,4246,8547,7254
"Gene1110",1580,6446,3301,5032,3007,3695,1929,1741,5218,1788,3152,685,5576,5474,6240,6359,4090,2159,4245,3720
"Gene1111",22269,90070,48566,73735,43167,54638,26359,24815,74266,25226,45411,9545,78672,78359,89218,87990,59200,30940,62802,53947
"Gene1112",1174,4893,2546,3940,2378,2883,1417,1314,4058,1348,2442,484,4320,4241,4896,4641,3166,1689,3367,2892
"Gene1113",2966,11945,6413,9880,5817,7162,3600,3285,10034,3399,6113,1232,10470,10572,12027,11587,8011,4147,8440,7108
"Gene1114",5604,23225,12571,19103,11384,14179,6956,6478,19164,6559,11963,2451,20418,20368,23177,22802,15440,8021,16234,13669
"Gene1115",2937,11731,6444,9584,5591,7126,3457,3215,9777,3298,6060,1248,10579,10250,11866,11588,7688,4161,8190,6878
"Gene1116",3768,15291,8282,12596,7271,9076,4606,4235,12586,4324,7704,1586,13773,13489,14976,14835,10136,5260,10707,9147
"Gene1117",3597,14727,7996,12126,6935,8920,4307,4104,12184,4166,7455,1533,13021,12908,14665,14747,9741,5176,10320,8893
"Gene1118",4493,17970,9416,14707,8550,10873,5173,4956,14719,5048,8942,1951,15754,15599,17754,17814,11805,6297,12658,10531
"Gene1119",3699,15028,8063,12478,7265,9075,4584,4160,12628,4380,7619,1614,13131,12996,14967,14673,9991,5385,10659,9102
"Gene1120",3607,14492,7799,11816,7021,8628,4256,3882,12079,4102,7237,1581,12539,12612,14319,14150,9379,4833,10045,8447
"Gene1121",4157,17059,9314,14011,8206,10548,5099,4700,14008,4931,8600,1771,15017,14931,16815,17023,11361,5837,11787,10146
"Gene1122",3752,15104,8103,12366,7127,9285,4496,4188,12500,4211,7602,1616,13118,12928,15119,14946,10127,5151,10526,9037
"Gene1123",14046,57674,31245,47328,27684,34798,17128,15878,47687,16350,29587,6192,50788,50447,57381,56932,38049,19902,40651,34092
"Gene1124",1953,7948,4230,6477,3784,4688,2293,2197,6509,2195,4013,844,7143,6981,7680,7739,5354,2771,5596,4639
"Gene1125",5465,21679,11779,17957,10471,13153,6502,5995,18029,6175,10968,2291,18827,19311,21423,21477,14536,7446,15378,12907
"Gene1126",2477,10079,5398,8447,4822,6079,3035,2855,8502,2935,5252,1128,9045,8912,10246,10194,6827,3520,7107,6011
"Gene1127",7447,30156,16000,24710,14365,17754,8808,8243,24821,8367,15067,3208,25995,26067,29340,29041,19543,10354,20906,17852
"Gene1128",3065,12342,6770,10314,5930,7650,3694,3488,10121,3445,6330,1364,10861,10801,12432,12311,8147,4268,8607,7314
"Gene1129",2876,11857,6339,9714,5629,7082,3431,3248,9668,3274,6008,1239,10300,10143,11651,11603,7626,4043,8257,7001
"Gene1130",734,3173,1647,2610,1548,1930,877,859,2638,877,1654,350,2762,2698,3115,3126,2071,1114,2162,1836
